"","Explo","ls","low","med","high","variable","value"
"1","A",1,1,0,0,"Ric_tot",12.3303376512161
"2","A",2,1,0,0,"Ric_tot",8.64103336541339
"3","A",3,1,0,0,"Ric_tot",-0.565349697870895
"4","A",4,1,0,0,"Ric_tot",3.38736943083508
"5","A",5,1,0,0,"Ric_tot",-3.22215595076184
"6","A",6,1,0,0,"Ric_tot",-2.04666007168008
"7","A",7,1,0,0,"Ric_tot",3.83017012239805
"8","A",8,1,0,0,"Ric_tot",5.37495936205556
"9","A",9,1,0,0,"Ric_tot",8.28622606775428
"10","A",10,1,0,0,"Ric_tot",-0.131708449646104
"11","A",11,1,0,0,"Ric_tot",6.56371320037896
"12","A",12,1,0,0,"Ric_tot",-1.79176361174518
"13","A",13,1,0,0,"Ric_tot",-3.86697502093687
"14","A",14,1,0,0,"Ric_tot",-4.78079595402279
"15","A",15,1,0,0,"Ric_tot",5.04883246764799
"16","A",16,1,0,0,"Ric_tot",-5.04333592284793
"17","A",17,1,0,0,"Ric_tot",-0.973410983334196
"18","A",18,1,0,0,"Ric_tot",0.597093156723886
"19","A",19,1,0,0,"Ric_tot",4.74529695123647
"20","A",20,1,0,0,"Ric_tot",1.00136160035644
"21","A",21,1,0,0,"Ric_tot",4.10763749751454
"22","A",22,1,0,0,"Ric_tot",0.340534027384277
"23","A",23,1,0,0,"Ric_tot",7.3864453981642
"24","A",24,1,0,0,"Ric_tot",6.44974407863896
"25","A",25,1,0,0,"Ric_tot",0.780306205185401
"26","A",26,1,0,0,"Ric_tot",4.84377773004639
"27","A",27,1,0,0,"Ric_tot",0.435692901663552
"28","A",28,1,0,0,"Ric_tot",0.900253020944743
"29","A",29,0.857142857142857,0.142857142857143,0,"Ric_tot",-0.0864532108883384
"30","A",30,0.857142857142857,0.142857142857143,0,"Ric_tot",3.71859029083023
"31","A",31,0.857142857142857,0.142857142857143,0,"Ric_tot",5.05623887846538
"32","A",32,0.857142857142857,0.142857142857143,0,"Ric_tot",5.42192398736708
"33","A",33,0.857142857142857,0.142857142857143,0,"Ric_tot",-10.3232268135066
"34","A",34,0.857142857142857,0.142857142857143,0,"Ric_tot",5.90826956096698
"35","A",35,0.857142857142857,0.142857142857143,0,"Ric_tot",3.99339328620084
"36","A",36,0.857142857142857,0.142857142857143,0,"Ric_tot",6.73629048991896
"37","A",37,0.857142857142857,0.142857142857143,0,"Ric_tot",2.37055002543673
"38","A",38,0.857142857142857,0.142857142857143,0,"Ric_tot",2.52438688682949
"39","A",39,0.857142857142857,0.142857142857143,0,"Ric_tot",4.27870399669603
"40","A",40,0.857142857142857,0.142857142857143,0,"Ric_tot",-7.77397812566623
"41","A",41,0.857142857142857,0.142857142857143,0,"Ric_tot",1.03707308950928
"42","A",42,0.857142857142857,0.142857142857143,0,"Ric_tot",-4.46223970170192
"43","A",43,0.857142857142857,0.142857142857143,0,"Ric_tot",4.52065368694677
"44","A",44,0.857142857142857,0.142857142857143,0,"Ric_tot",-0.541103508610433
"45","A",45,0.857142857142857,0.142857142857143,0,"Ric_tot",1.41164622971238
"46","A",46,0.857142857142857,0.142857142857143,0,"Ric_tot",0.950482354570429
"47","A",47,0.857142857142857,0.142857142857143,0,"Ric_tot",-6.84559917193097
"48","A",48,0.857142857142857,0.142857142857143,0,"Ric_tot",-0.936213838372063
"49","A",49,0.857142857142857,0.142857142857143,0,"Ric_tot",7.13713849455203
"50","A",50,0.857142857142857,0.142857142857143,0,"Ric_tot",-5.65563611622215
"51","A",51,0.857142857142857,0.142857142857143,0,"Ric_tot",5.92738379136193
"52","A",52,0.857142857142857,0.142857142857143,0,"Ric_tot",-2.52354539111154
"53","A",53,0.857142857142857,0.142857142857143,0,"Ric_tot",-4.36902880329852
"54","A",54,0.857142857142857,0.142857142857143,0,"Ric_tot",8.24779824752323
"55","A",55,0.857142857142857,0.142857142857143,0,"Ric_tot",-9.30620829893129
"56","A",56,0.857142857142857,0.142857142857143,0,"Ric_tot",-0.801698169852265
"57","A",57,0.714285714285714,0.285714285714286,0,"Ric_tot",-2.22431369032077
"58","A",58,0.714285714285714,0.285714285714286,0,"Ric_tot",7.80712329338848
"59","A",59,0.714285714285714,0.285714285714286,0,"Ric_tot",9.77223712046968
"60","A",60,0.714285714285714,0.285714285714286,0,"Ric_tot",-4.85560379255334
"61","A",61,0.714285714285714,0.285714285714286,0,"Ric_tot",10.1522746955028
"62","A",62,0.714285714285714,0.285714285714286,0,"Ric_tot",-3.1686422058559
"63","A",63,0.714285714285714,0.285714285714286,0,"Ric_tot",7.91545034425593
"64","A",64,0.714285714285714,0.285714285714286,0,"Ric_tot",10.682885995605
"65","A",65,0.714285714285714,0.285714285714286,0,"Ric_tot",12.0724360912024
"66","A",66,0.714285714285714,0.285714285714286,0,"Ric_tot",3.60865764023404
"67","A",67,0.714285714285714,0.285714285714286,0,"Ric_tot",-3.19969740808118
"68","A",68,0.714285714285714,0.285714285714286,0,"Ric_tot",4.7231295686024
"69","A",69,0.714285714285714,0.285714285714286,0,"Ric_tot",7.29641970235436
"70","A",70,0.714285714285714,0.285714285714286,0,"Ric_tot",-3.97875105621595
"71","A",71,0.714285714285714,0.285714285714286,0,"Ric_tot",4.33705259733801
"72","A",72,0.714285714285714,0.285714285714286,0,"Ric_tot",7.04760207597852
"73","A",73,0.714285714285714,0.285714285714286,0,"Ric_tot",-3.19078930882845
"74","A",74,0.714285714285714,0.285714285714286,0,"Ric_tot",8.05348322021879
"75","A",75,0.714285714285714,0.285714285714286,0,"Ric_tot",2.03839442332961
"76","A",76,0.714285714285714,0.285714285714286,0,"Ric_tot",3.95704859657693
"77","A",77,0.714285714285714,0.285714285714286,0,"Ric_tot",12.0948392784089
"78","A",78,0.714285714285714,0.285714285714286,0,"Ric_tot",-1.37664927292022
"79","A",79,0.714285714285714,0.285714285714286,0,"Ric_tot",-5.03570006654622
"80","A",80,0.714285714285714,0.285714285714286,0,"Ric_tot",1.91482409457852
"81","A",81,0.714285714285714,0.285714285714286,0,"Ric_tot",0.888160838076041
"82","A",82,0.714285714285714,0.285714285714286,0,"Ric_tot",1.42604993438731
"83","A",83,0.714285714285714,0.285714285714286,0,"Ric_tot",8.04901095864187
"84","A",84,0.714285714285714,0.285714285714286,0,"Ric_tot",5.02978461747091
"85","A",85,0.571428571428571,0.428571428571429,0,"Ric_tot",7.13240650599317
"86","A",86,0.571428571428571,0.428571428571429,0,"Ric_tot",10.5299808309652
"87","A",87,0.571428571428571,0.428571428571429,0,"Ric_tot",8.76555123951388
"88","A",88,0.571428571428571,0.428571428571429,0,"Ric_tot",0.638004695314592
"89","A",89,0.571428571428571,0.428571428571429,0,"Ric_tot",8.09620653930211
"90","A",90,0.571428571428571,0.428571428571429,0,"Ric_tot",6.54475518093651
"91","A",91,0.571428571428571,0.428571428571429,0,"Ric_tot",6.82595619761968
"92","A",92,0.571428571428571,0.428571428571429,0,"Ric_tot",0.341859174575109
"93","A",93,0.571428571428571,0.428571428571429,0,"Ric_tot",13.8072426893596
"94","A",94,0.571428571428571,0.428571428571429,0,"Ric_tot",3.70974726095586
"95","A",95,0.571428571428571,0.428571428571429,0,"Ric_tot",16.0651292623154
"96","A",96,0.571428571428571,0.428571428571429,0,"Ric_tot",10.2901466050307
"97","A",97,0.571428571428571,0.428571428571429,0,"Ric_tot",19.1754262110298
"98","A",98,0.571428571428571,0.428571428571429,0,"Ric_tot",4.72711539557381
"99","A",99,0.571428571428571,0.428571428571429,0,"Ric_tot",-2.65137602141614
"100","A",100,0.571428571428571,0.428571428571429,0,"Ric_tot",11.0749111713008
"101","A",101,0.571428571428571,0.428571428571429,0,"Ric_tot",7.46722792562166
"102","A",102,0.571428571428571,0.428571428571429,0,"Ric_tot",2.52134477447207
"103","A",103,0.571428571428571,0.428571428571429,0,"Ric_tot",12.1814314903469
"104","A",104,0.571428571428571,0.428571428571429,0,"Ric_tot",12.3913863054694
"105","A",105,0.571428571428571,0.428571428571429,0,"Ric_tot",10.8779793191814
"106","A",106,0.571428571428571,0.428571428571429,0,"Ric_tot",0.930300819581602
"107","A",107,0.571428571428571,0.428571428571429,0,"Ric_tot",-2.49459150000448
"108","A",108,0.571428571428571,0.428571428571429,0,"Ric_tot",12.0006188448901
"109","A",109,0.571428571428571,0.428571428571429,0,"Ric_tot",7.80413746243043
"110","A",110,0.571428571428571,0.428571428571429,0,"Ric_tot",4.98047948735723
"111","A",111,0.571428571428571,0.428571428571429,0,"Ric_tot",1.00864128364136
"112","A",112,0.571428571428571,0.428571428571429,0,"Ric_tot",7.44877619745976
"113","A",113,0.428571428571429,0.571428571428571,0,"Ric_tot",11.7737859664009
"114","A",114,0.428571428571429,0.571428571428571,0,"Ric_tot",-0.892819693151683
"115","A",115,0.428571428571429,0.571428571428571,0,"Ric_tot",1.62798304376963
"116","A",116,0.428571428571429,0.571428571428571,0,"Ric_tot",4.658588799301
"117","A",117,0.428571428571429,0.571428571428571,0,"Ric_tot",4.85706951259756
"118","A",118,0.428571428571429,0.571428571428571,0,"Ric_tot",1.79257271098484
"119","A",119,0.428571428571429,0.571428571428571,0,"Ric_tot",-5.14287433544139
"120","A",120,0.428571428571429,0.571428571428571,0,"Ric_tot",-0.69229528706358
"121","A",121,0.428571428571429,0.571428571428571,0,"Ric_tot",-8.33034224107833
"122","A",122,0.428571428571429,0.571428571428571,0,"Ric_tot",2.53976869167928
"123","A",123,0.428571428571429,0.571428571428571,0,"Ric_tot",9.06579019864959
"124","A",124,0.428571428571429,0.571428571428571,0,"Ric_tot",-3.00009002026075
"125","A",125,0.428571428571429,0.571428571428571,0,"Ric_tot",-4.25435031944165
